Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
ASUS,Intel Core i3,Windows 11 Home,8,DDR4,512 GB,14,"40,990","50,990",19,4.3
Lenovo,MediaTek Kompanio 520,Chrome,4,LPDDR4X,,11.6,"14,999","16,298",7,4
Acer,Intel Core i3,64 bit Windows 11 Home,8,DDR4,512 GB,15.6,"38,938","42,990",9,4
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
ASUS,AMD Ryzen 5 Quad Core,Windows 11 Home,8,LPDDR5,512 GB,15.6,"38,990","50,990",23,4.3
ASUS,Intel Core i3,Windows 11,8,DDR4,512 GB,15.6,"40,990","50,990",19,4.3
Acer,AMD Ryzen 7 Octa Core,Windows 11,16,DDR4,512 GB,15.6,"46,990","72,999",35,4.1
ASUS,AMD Ryzen 3 Quad Core,Windows 11 Home,8,LPDDR5,512 GB,15.6,"35,990","43,990",18,4.3
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
HP,Intel Celeron Dual Core,Windows 11 Home,8,DDR4,512 GB,14,"29,990","31,933",6,3.7
ASUS,Intel Celeron Dual Core,Chrome,4,LPDDR4X,,14,"19,714","23,900",17,3.8
HP,Intel Core i5,Windows 11 Home,12,DDR4,512 GB,15.6,"51,990","68,417",24,4.2
ASUS,AMD Ryzen 5 Quad Core,Windows 11 Home,16,LPDDR5,512 GB,15.6,"44,590","55,990",20,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
Acer,Intel Celeron Dual Core,64 bit Windows 11 Home,8,DDR4,512 GB,11.6,"25,990","35,999",27,3.8
ASUS,Intel Celeron Dual Core,Chrome,4,LPDDR4X,,14,"18,799","21,990",14,3.8
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
